"name","screen_name","text","polarity","subjectivity","label"
"imirfan","imirfan77","I liked a @YouTube video https://t.co/B0mDnZ5ZVH Youtube Demonetization se related 25 sawaal. २५ सवाल","0.30","0.60","POSITIVE"
"Manoharsingh","ManoharsinghA","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"Panromir","panromir","@VeryAngryHobbit @eddie_ebert @thunderf00t The statement itself was a joke. Sargon never honestly complained about… https://t.co/ugILMultsG","0.15","0.20","POSITIVE"
"Reena Satin","ReenaSatin","ദീപ ഖാദർ on FB:
Weren't we told that demonetization had 'solved' all the trouble in Kashmir and 'tamed' the stone-pelters for good?","0.25","0.40","POSITIVE"
"Guisan","DeGuisan","RT @Timcast: Youtube flags my videos for demonetization then after most people have already watched them they will reinstate ads, thus I ge…","0.50","0.50","POSITIVE"
"Jorge Tamez","jorgeftamez","RT @RubinOfAkkad: Me, a skeptic youtuber who is upset about demonetization of my videos:
""Capitalism and deregulation are good""","0.70","0.60","POSITIVE"
"RamKumar","Rock__Ram","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"Khan Aadil","KhanAadil15","RT @sanjeetbisht: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"Frank Shankly","ShanklyMrFrank","RT @Timcast: Youtube flags my videos for demonetization then after most people have already watched them they will reinstate ads, thus I ge…","0.50","0.50","POSITIVE"
"sanjeet bisht","sanjeetbisht","Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poor!

#Snapchat","-0.06","0.68","NEGATIVE"
"Janamejayan","Janamejayan","Demonetization was the biggest reward &amp; purchase of money bags who cheated on bank loans! Lakhs of crores involved.","0.00","0.00","NEGATIVE"
"DIVYESH","dvkikh","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"Colors of Love","Precious7ven","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"Pooja","janagal_pooja","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"Devangana Singh","devanganas3","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"ayush agarwal","ayush2499","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
